gvkey,indfmt,datafmt,consol,popsrc,curcd,fyear,fyr,datadate,sedol,conm,costat,fic
015774,FS,HIST_STD,C,I,ZAR,1988,3,19890331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1989,3,19900331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1990,3,19910331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1991,3,19920331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1992,3,19930331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1993,3,19940331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1994,3,19950331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1995,3,19960331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1996,3,19970331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1997,3,19980331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
015781,FS,HIST_STD,C,I,ZAR,1987,12,19871231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1988,12,19881231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1989,12,19891231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1990,12,19901231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1991,12,19911231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1992,12,19921231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1993,12,19931231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1994,12,19941231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1995,12,19951231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1996,12,19961231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1997,12,19971231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1998,12,19981231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,1999,12,19991231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2000,12,20001231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2001,12,20011231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2002,12,20021231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2003,12,20031231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2004,12,20041231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2005,12,20051231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2006,12,20061231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2007,12,20071231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2008,12,20081231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2009,12,20091231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2010,12,20101231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2011,12,20111231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2012,12,20121231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2013,12,20131231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2014,12,20141231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2015,12,20151231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015781,FS,HIST_STD,C,I,ZAR,2016,12,20161231,B030GJ7,STANDARD BANK GROUP LTD,A,ZAF
015870,FS,HIST_STD,C,I,ZAR,1987,6,19870630,6075325,BANKORP HOLDINGS LTD,I,ZAF
015870,FS,HIST_STD,C,I,ZAR,1988,6,19880630,6075325,BANKORP HOLDINGS LTD,I,ZAF
015870,FS,HIST_STD,C,I,ZAR,1989,6,19890630,6075325,BANKORP HOLDINGS LTD,I,ZAF
015870,FS,HIST_STD,C,I,ZAR,1990,6,19900630,6075325,BANKORP HOLDINGS LTD,I,ZAF
015870,FS,HIST_STD,C,I,ZAR,1991,6,19910630,6075325,BANKORP HOLDINGS LTD,I,ZAF
015879,FS,HIST_STD,C,I,ZAR,1988,6,19880630,6334833,TOLARAM 2000 LTD,I,ZAF
015879,FS,HIST_STD,C,I,ZAR,1989,6,19890630,6334833,TOLARAM 2000 LTD,I,ZAF
015879,FS,HIST_STD,C,I,ZAR,1990,6,19900630,6334833,TOLARAM 2000 LTD,I,ZAF
015879,FS,HIST_STD,C,I,ZAR,1991,12,19911231,6334833,TOLARAM 2000 LTD,I,ZAF
015879,FS,HIST_STD,C,I,ZAR,1992,12,19921231,6334833,TOLARAM 2000 LTD,I,ZAF
015879,FS,HIST_STD,C,I,ZAR,1994,12,19941231,6334833,TOLARAM 2000 LTD,I,ZAF
015879,FS,HIST_STD,C,I,ZAR,1995,12,19951231,6334833,TOLARAM 2000 LTD,I,ZAF
015879,INDL,HIST_STD,C,I,ZAR,1997,12,19971231,6334833,TOLARAM 2000 LTD,I,ZAF
015879,INDL,HIST_STD,C,I,ZAR,1998,12,19981231,6334833,TOLARAM 2000 LTD,I,ZAF
015879,INDL,HIST_STD,C,I,ZAR,1999,12,19991231,6334833,TOLARAM 2000 LTD,I,ZAF
015931,FS,HIST_STD,C,I,ZAR,1988,3,19890331,6930606,VOLKSKAS GROUP LTD,I,ZAF
015931,FS,HIST_STD,C,I,ZAR,1989,3,19900331,6930606,VOLKSKAS GROUP LTD,I,ZAF
016176,FS,HIST_STD,C,I,ZAR,1987,3,19880331,6020648,ALLIED GROUP LTD,I,ZAF
016176,FS,HIST_STD,C,I,ZAR,1988,3,19890331,6020648,ALLIED GROUP LTD,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1987,9,19870930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1988,9,19880930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1989,9,19890930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1990,9,19900930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1991,9,19910930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1992,9,19920930,6869045,SYCOM PROPERTY FUND,I,ZAF
