globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
103026,01W,2014,ZAR,16.249142857142854,15.8
103026,01W,2015,ZAR,17.314545454545453,17.25
103026,01W,2016,ZAR,14.135454545454543,13.9
103026,01W,2017,ZAR,14.038084291187745,15.24
103252,01W,2010,ZAR,43.36272727272726,43.61
103252,01W,2011,ZAR,39.42217391304349,40.75
103252,01W,2012,ZAR,43.16380952380952,43.0
103252,01W,2013,ZAR,31.032,31.0
103252,01W,2014,ZAR,28.10091954022988,26.84
146202,01W,2010,ZAR,134.87956521739133,136.24
146202,01W,2011,ZAR,170.73545454545453,168.0
146202,01W,2012,ZAR,161.9928571428572,169.0
146202,01W,2013,ZAR,143.14045454545456,146.46
146202,01W,2014,ZAR,104.57478260869566,103.5
146202,01W,2015,ZAR,44.02347826086957,44.04
146202,01W,2016,ZAR,77.97233716475094,89.5
152649,01W,2009,ZAR,34.095652173913045,34.15
152649,01W,2010,ZAR,35.313478260869566,37.0
152649,01W,2011,ZAR,25.23045454545455,24.0
152649,01W,2012,ZAR,14.587142857142856,15.0
152649,01W,2013,ZAR,32.45047619047619,33.65
152649,01W,2014,ZAR,77.2277272727273,79.2
152649,01W,2015,ZAR,55.765217391304354,57.57
152649,01W,2016,ZAR,65.43402298850576,75.03
200019,01W,2010,ZAR,19.00409090909091,18.06
200019,01W,2011,ZAR,19.546363636363637,19.85
200019,01W,2012,ZAR,26.84619047619048,26.39
200019,01W,2013,ZAR,27.612000000000002,28.93
200019,01W,2014,ZAR,40.429523809523815,40.75
200019,01W,2015,ZAR,52.24363636363636,53.32
200019,01W,2016,ZAR,47.27450381679392,44.84
200138,01W,2009,ZAR,22.3885,22.05
200138,01W,2010,ZAR,41.218,43.2
200138,01W,2011,ZAR,47.95095238095238,47.0
200138,01W,2012,ZAR,61.187,61.26
200138,01W,2013,ZAR,84.82609,89.02
200138,01W,2014,ZAR,139.82,136.81
200138,01W,2015,ZAR,178.44285714285715,173.69
200138,01W,2016,ZAR,202.89103448275853,251.43
200613,01W,2009,ZAR,24.252999999999997,25.6
200613,01W,2010,ZAR,38.999,38.5
200613,01W,2011,ZAR,44.96285714285714,44.05
200613,01W,2012,ZAR,81.16400000000002,83.5
200613,01W,2013,ZAR,96.2375,97.0
200613,01W,2014,ZAR,111.83200000000002,112.0
200613,01W,2015,ZAR,113.2452380952381,115.6
200613,01W,2016,ZAR,138.74287356321824,154.5
201023,01W,2010,GBP,0.3257608695652173,0.3225
201023,01W,2011,GBP,0.32450454545454543,0.3175
201023,01W,2012,GBP,0.28703809523809526,0.2875
201023,01W,2013,GBP,0.4341545454545454,0.44
201023,01W,2014,GBP,0.5165304347826087,0.525
201023,01W,2015,GBP,0.6807086956521741,0.65
201023,01W,2016,GBP,0.5985919540229883,0.55
202546,01W,2010,ZAR,13.565909090909088,13.84
202546,01W,2011,ZAR,13.279545454545456,13.05
202546,01W,2012,ZAR,18.433,17.9
202546,01W,2013,ZAR,23.75904761904762,24.0
202546,01W,2014,ZAR,32.82636363636363,31.61
202546,01W,2015,ZAR,37.605454545454535,36.3
202546,01W,2016,ZAR,33.983358778625934,33.63
204211,01W,2011,ZAR,42.87863636363636,42.47
204211,01W,2012,ZAR,26.350952380952382,23.25
204211,01W,2013,ZAR,35.01899999999999,32.0
204211,01W,2014,ZAR,45.10285714285714,45.5
204211,01W,2015,ZAR,42.525000000000006,40.26
204211,01W,2016,ZAR,41.871818181818185,43.0
204211,01W,2017,ZAR,47.9177394636016,40.45
205081,01W,2009,ZAR,25.72826086956521,27.0
205081,01W,2010,ZAR,28.844347826086956,29.0
205081,01W,2011,ZAR,37.23636363636364,37.5
205081,01W,2012,ZAR,61.80333333333334,64.2
205081,01W,2013,ZAR,70.70761904761903,74.83
205081,01W,2014,ZAR,94.93869731800763,121.99
206059,02W,2009,ZAR,307.88391304347823,316.5
206059,02W,2010,ZAR,384.6843478260869,364.0
206059,02W,2011,ZAR,417.1968181818182,431.0
206059,02W,2012,ZAR,602.9300000000001,572.85
206059,02W,2013,ZAR,1234.6042857142859,1161.34
206059,02W,2014,ZAR,1739.9745454545455,1870.0
206059,02W,2015,USD,145.56425624847526,147.056725503
206059,02W,2016,USD,155.64710010733629,165.180164745
206941,01W,2010,SGD,1.3691304347826085,1.41
206941,01W,2011,SGD,1.401590909090909,1.315
206941,01W,2012,SGD,3.14952380952381,3.24
206941,01W,2013,SGD,3.500454545454545,3.8
206941,01W,2014,SGD,1.1347826086956518,1.145
206941,01W,2015,SGD,0.8341304347826088,0.84
206941,01W,2016,SGD,0.9183333333333331,1.28
207125,01W,2010,ZAR,3.200000000000001,3.17
207125,01W,2011,ZAR,3.402272727272727,3.46
207125,01W,2012,ZAR,3.6166666666666667,3.65
207125,01W,2013,ZAR,3.905909090909091,3.99
207125,01W,2014,ZAR,4.716956521739131,4.78
207125,01W,2015,ZAR,4.575217391304348,4.6
207125,01W,2016,ZAR,5.09605363984674,5.62
208127,01W,2009,ZAR,31.21217391304348,29.7
208127,01W,2010,ZAR,27.17130434782609,26.85
208127,01W,2011,ZAR,26.087272727272726,25.33
208127,01W,2012,ZAR,31.041904761904757,31.8
208127,01W,2013,ZAR,26.57333333333333,28.01
208127,01W,2014,ZAR,23.04090909090909,23.78
208127,01W,2015,ZAR,17.731145038167938,20.65
209214,01W,2010,GBP,4.102608695652174,4.176
209214,01W,2011,GBP,3.0667727272727276,3.123
209214,01W,2012,GBP,3.5481904761904763,3.502
209214,01W,2013,GBP,3.1035909090909097,3.099
209214,01W,2014,GBP,3.3863043478260866,3.34
209214,01W,2015,GBP,3.157739130434783,3.173
209214,01W,2016,GBP,2.918199233716477,2.813
209952,01W,2010,ZAR,706.7645454545453,690.0
209952,01W,2011,ZAR,221.65454545454543,219.55
209952,01W,2012,ZAR,299.6942857142857,298.9
209952,01W,2013,ZAR,321.8860000000001,320.0
209952,01W,2014,ZAR,352.9690476190476,356.66
209952,01W,2015,ZAR,109.91954545454543,103.5
209952,01W,2016,ZAR,175.4363636363636,180.01
209952,01W,2017,ZAR,210.21053639846744,194.86
209955,01W,2010,ZAR,128.0772727272727,121.89
209955,01W,2011,ZAR,148.55772727272725,150.5
209955,01W,2012,ZAR,181.29428571428568,182.0
209955,01W,2013,ZAR,237.6625,244.95
209955,01W,2014,ZAR,284.36571428571426,282.58
209955,01W,2015,ZAR,303.83409090909095,308.15
209955,01W,2016,ZAR,133.52,138.69
209955,01W,2017,ZAR,161.89011494252875,157.58
209980,01W,2010,ZAR,18.62608695652174,18.95
209980,01W,2011,ZAR,14.270454545454548,14.0
209980,01W,2012,ZAR,15.427142857142858,15.85
209980,01W,2013,ZAR,27.142727272727267,28.03
209980,01W,2014,ZAR,21.690869565217387,22.4
209980,01W,2015,ZAR,11.630434782608695,11.29
209980,01W,2016,ZAR,11.68601532567049,13.45
209985,01W,2009,ZAR,61.45130434782608,62.49
209985,01W,2010,ZAR,52.323913043478264,52.8
209985,01W,2011,GBP,2.1592403653504895,2.1213331286654546
209985,01W,2012,GBP,3.1885636058918,3.050014916503692
209985,01W,2013,GBP,3.4314493058358404,3.622255933054093
209985,01W,2014,GBP,4.834428002484018,4.665670342027195
209985,01W,2015,GBP,5.610279862397601,5.622535015005735
209985,01W,2016,GBP,4.670481085493401,4.594385503787665
209987,01W,2009,ZAR,26.700869565217392,28.79
209987,01W,2010,ZAR,43.176086956521736,43.5
209987,01W,2011,ZAR,60.15,65.0
209987,01W,2012,ZAR,100.52142857142856,102.0
209987,01W,2013,ZAR,118.63420476190478,115.3
209987,01W,2014,ZAR,73.00681818181818,72.75
209987,01W,2015,ZAR,50.81521739130434,52.29
209987,01W,2016,ZAR,57.68210727969348,58.72
210057,01W,2009,ZAR,30.723000000000003,30.74
210057,01W,2010,ZAR,35.5355,35.76
210057,01W,2011,ZAR,43.652857142857144,45.0
210057,01W,2012,USD,3.4110239160765,3.4755619113300003
210057,01W,2013,USD,3.3255083966610006,3.35426330223
210057,01W,2014,USD,4.2985016219505,4.28469498615
210057,01W,2015,USD,3.1372509167057143,3.31644667704
210057,01W,2016,USD,3.406970924124252,3.89439887334
210060,01W,2010,ZAR,65.23136363636364,65.5
210060,01W,2011,ZAR,70.68954545454545,71.5
210060,01W,2012,ZAR,86.83333333333333,90.01
210060,01W,2013,ZAR,120.89649999999999,121.94
210060,01W,2014,ZAR,138.71761904761902,140.0
210060,01W,2015,ZAR,159.50999999999996,166.97
210060,01W,2016,ZAR,156.99045454545455,161.8
210060,01W,2017,ZAR,151.8746743295019,137.01
210095,01W,2009,ZAR,60.66173913043478,62.89
210095,01W,2010,ZAR,74.14652173913045,73.24
210095,01W,2011,ZAR,95.39545454545456,95.25
210095,01W,2012,ZAR,155.84190476190474,158.0
210095,01W,2013,ZAR,210.25714285714284,211.05
210095,01W,2014,ZAR,180.17590909090907,172.5
210095,01W,2015,ZAR,133.36304347826083,136.5
210095,01W,2016,ZAR,162.47938697318008,162.3
210803,01W,2010,ZAR,32.26045454545454,31.2
210803,01W,2011,ZAR,26.195909090909087,26.65
210803,01W,2012,ZAR,34.88952380952381,34.88
210803,01W,2013,ZAR,37.34749999999999,39.4
210803,01W,2014,ZAR,52.599999999999994,52.59
210803,01W,2015,ZAR,64.83318181818181,66.45
210803,01W,2016,ZAR,60.402671755725166,56.25
211104,01W,2010,ZAR,3.476818181818181,3.6
211104,01W,2011,ZAR,4.452272727272727,4.45
211104,01W,2012,ZAR,5.526190476190474,5.6
211104,01W,2013,ZAR,6.0055000000000005,6.0
211104,01W,2014,ZAR,8.521904761904763,8.55
211104,01W,2015,ZAR,11.329545454545453,11.6
211104,01W,2016,ZAR,12.122786259541977,13.7
211111,01W,2010,ZAR,2.2904545454545455,2.29
211111,01W,2011,ZAR,2.498636363636363,2.62
211111,01W,2012,ZAR,3.223333333333333,3.25
211111,01W,2013,ZAR,3.142,3.29
211111,01W,2014,ZAR,3.9190714285714288,3.93
211111,01W,2015,ZAR,5.80409090909091,6.13
211111,01W,2016,ZAR,6.279545454545455,6.25
211111,01W,2017,ZAR,7.9532950191570935,8.13
211126,01W,2010,ZAR,19.132608695652166,19.55
211126,01W,2011,ZAR,17.329090909090908,18.2
211126,01W,2012,ZAR,24.773333333333333,24.75
211126,01W,2013,ZAR,25.59541428571429,25.32
211126,01W,2014,ZAR,26.824545454545454,27.6
211126,01W,2015,ZAR,22.414782608695656,23.64
211126,01W,2016,ZAR,28.176436781609205,27.64
211127,01W,2010,ZAR,78.79545454545456,76.1
211127,01W,2011,ZAR,84.54045454545457,84.0
211127,01W,2012,ZAR,121.81904761904764,125.85
211127,01W,2013,ZAR,194.9725,227.07
211127,01W,2014,ZAR,296.7952380952381,298.89
211127,01W,2015,ZAR,360.6945454545455,360.0
211127,01W,2016,ZAR,315.5429770992366,362.28
211148,02W,2010,ZAR,13.867272727272722,14.44
211148,02W,2011,ZAR,18.463636363636365,19.3
211148,02W,2012,ZAR,32.0745,31.75
211148,02W,2013,ZAR,35.99571428571429,35.74
211148,02W,2014,ZAR,46.06045454545455,44.54
211148,02W,2015,ZAR,36.550000000000004,35.61
211148,02W,2016,ZAR,36.67129770992366,37.87
211166,02W,2010,ZAR,81.85545454545455,82.85
211166,02W,2011,ZAR,97.68454545454546,101.8
211166,02W,2012,ZAR,147.92095238095237,150.67
211166,02W,2013,ZAR,174.78050000000002,185.5
211166,02W,2014,ZAR,157.8033333333333,154.0
211166,02W,2015,ZAR,161.9609090909091,173.5
211166,02W,2016,ZAR,166.31090909090912,166.32
211166,02W,2017,ZAR,190.92302681992322,199.38
211175,02W,2009,ZAR,40.8004347826087,39.8
211175,02W,2010,ZAR,60.13391304347826,61.25
211175,02W,2011,ZAR,90.97272727272727,94.34
211175,02W,2012,ZAR,117.39285714285712,116.99
211175,02W,2013,ZAR,151.3442857142857,157.41
211175,02W,2014,ZAR,256.675,260.01
211175,02W,2015,ZAR,175.0052173913043,177.43
211175,02W,2016,ZAR,175.5508429118775,159.9
211527,02W,2010,AUD,6.404999999999998,5.91
211527,02W,2011,USD,5.209924363636364,5.03652
211527,02W,2012,AUD,0.9111904761904761,0.7
211527,02W,2013,AUD,0.6575,0.65
211527,02W,2014,AUD,0.44880952380952377,0.42
211527,02W,2015,AUD,0.2809770114942535,0.14
211603,01W,2010,ZAR,91.46727272727273,85.8
211603,01W,2011,ZAR,116.97454545454544,121.25
211603,01W,2012,ZAR,171.33142857142855,172.0
211603,01W,2013,ZAR,198.03599999999997,209.86
