Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
271141,Lewis Group Ltd,Consumer Discretionary,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,23,
271141,LEWIS GROUP LTD,Consumer Discretionary,2016,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,23,
288986,Grand Parade Investments Ltd,Consumer Discretionary,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,13,
288986,GRAND PARADE INVT LTD,Consumer Discretionary,2016,6,,1,0,0,1,1,0,0,,1,0,0,1,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,9,
294999,Taste Holdings Ltd,Consumer Discretionary,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,21,
294999,TASTE HOLDINGS LTD,Consumer Discretionary,2016,2,,1,1,1,1,1,0,0,,1,1,1,1,1,0,0,,1,1,1,1,1,0,0,,1,1,1,1,1,0,0,,1,1,1,1,0,0,0,,1,1,1,0,0,0,0,27,
297991,Curro Holdings,Consumer Discretionary,2015,12,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,,1,1,1,0,0,0,1,32,
297991,CURRO HOLDINGS,Consumer Discretionary,2016,12,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,,1,1,1,0,0,1,1,38,
298363,Holdsport Ltd,Consumer Discretionary,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,16,
298363,HOLDSPORT LTD,Consumer Discretionary,2016,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,16,
313499,Gooderson Leisure Corporation Ltd,Consumer Discretionary,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,
321730,GOLD BRANDS INVESTMENTS LTD,Consumer Discretionary,2016,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,10,
100434,AVI Ltd,Consumer Staples,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,22,
100434,AVI LTD,Consumer Staples,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,22,
101112,Tongaat- Hulett Ltd,Consumer Staples,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,24,
101112,TONGAAT-HULETT LTD,Consumer Staples,2016,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,24,
102145,Oceana Group Ltd,Consumer Staples,2015,9,,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,1,0,1,0,0,0,1,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,36,
102145,OCEANA GROUP LTD,Consumer Staples,2016,9,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,,1,1,1,1,0,0,1,33,
102277,Tiger Brands Ltd,Consumer Staples,2015,9,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,24,
102277,TIGER BRANDS LTD,Consumer Staples,2016,9,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,0,0,0,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,27,
102543,Pick'N Pay Stores Ltd,Consumer Staples,2015,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
102543,PICK 'N PAY STORES LTD,Consumer Staples,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
103026,RCL Foods Ltd,Consumer Staples,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,1,1,1,0,18,
103026,RCL FOODS LTD,Consumer Staples,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,0,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,20,
