globalcompanykey,industryformat,comparabilitystatus,isocurrencycode,datayearfiscal,fiscalyearendmonth,pricecloselastday,yearcheck,assetstotal,capitalexpenditures,debtincurrentliabilitiestotal,longtermdebttotal,cashdividendscashflow,dividendscommonordinary,dividendspreferredpreference,intangibleassetstotal,liabilitiestotal,operatingactivitiesnetcashflow,salesturnovernet,stockexchangecode,comsharesoutstandingissue,netincomelossconsolidated,companylegalname,gicsectors,sectorname,comp,size,roa,lev,dividend,roa_1,market_value_of_equity,growth_1,growth,tobins_q,tobins_q1
102277,INDL,,ZAR,2015,9,304.79,1,24854.301,881.59998,3624,1215.8,1643,0,0,4233,11076.7,2375.8,31557.6,177,162.45,1727.1,Tiger Brands Ltd,30,Consumer Staples,.17031258,7.5801873,.06948898,.19472687,1643,.13295338,49513.133,.049401425,.000092579321,2.5595939,
102277,INDL,,ZAR,2016,9,380.24,1,24528.9,945.40002,1695.7,1069.3,1661.1,0,0,3940.5,8495,3234.5,31697.5,177,162.74899,3261.2,Tiger Brands Ltd,30,Consumer Staples,.16064723,10.107607,.13295338,.11272417,1661.1,,61883.676,.004433176,-.013092318,,
102341,INDL,,ZAR,2015,6,15.59,1,36137,2822,0,3399,0,0,0,885,9384,2006,15435,177,435.12399,-4536,Harmony Gold Mining Co Ltd,15,Materials,.024490135,7.954474,-.12552232,.094058722,0,.02562787,6783.583,-.015750542,-.11580621,,
102341,INDL,,ZAR,2016,6,52.47,1,37030,2437,300,2039,0,218,0,870,8851,4513,18334,177,436.77399,949,Harmony Gold Mining Co Ltd,15,Materials,.023494463,10.519484,.02562787,.063165002,218,,22917.531,.18781988,.024711514,,
102422,INDL,,USD,2015,9,42.5,1,4913,248,196,2031,0,0,0,17,3898,382,5390,177,,167,Sappi Ltd,15,Materials,.0034602077,8.4996405,.033991452,.45328718,0,.061618697,,-.1107078,-.1010064,,
102422,INDL,,USD,2016,9,71,1,5177,241,576,1535,0,0,0,12,3799,550,5141,177,530.56403,319,Sappi Ltd,15,Materials,.0023179448,8.551981,.061618697,.40776512,0,,37670.047,-.046196662,.053734988,,
102445,INDL,,ZAR,2015,2,22,1,824.31097,44.751999,33.324001,26.768,5.4320002,0,0,0,366.19699,133.091,588.07898,177,19.406,45.970001,Cargo Carriers Ltd,20,Industrials,0,4.1739492,.055767789,.072899677,5.4320002,-.0028603559,426.93201,-.35354552,-.043962337,,
102448,INDL,,ZAR,2015,3,1.03,1,12745.445,8.04,139.205,30.549,97.679001,0,0,392.069,11894.204,127.707,910.40002,177,1638.868,107.055,PBT Group Limited,45,Information Technology,.030761499,6.9123306,.0083994707,.013318798,97.679001,,1688.0341,.089176312,.11569867,,
102494,INDL,,ZAR,2015,11,107.01,1,3774.0239,37.395,277.39301,817.13202,155.064,0,0,1069.661,1878.861,122.344,5230.082,177,31.646,368.508,Hudaco Industries Ltd,20,Industrials,.28342721,5.6952982,.097643256,.2900154,155.064,.091702372,3386.4385,.16748272,.2299792,,
102494,INDL,,ZAR,2016,11,108.5,1,4230.1631,36.189999,318.073,857.99103,162.97501,166,0,1310.557,2100.7629,567.164,5534.2329,177,31.646,387.91599,Hudaco Industries Ltd,20,Industrials,.3098124,8.3499956,.091702372,.27801859,328.97501,,3433.5911,.058154132,.12086282,,
102497,INDL,,ZAR,2015,3,180.57,1,22095.1,901,3139.3999,5026.2998,747.40002,0,0,5577.7998,12194.4,1208.9,21107.5,177,209.257,2155.6001,Foschini Group Ltd,25,Consumer Discretionary,.2524451,7.4625125,.0975601,.36957061,747.40002,.1067072,37785.539,.31217399,.19217733,1.9885918,
102497,INDL,,ZAR,2016,3,141.44,1,22036,883.5,3307,4442.2002,966.09998,0,0,4675.8999,11516.5,1980.3,23548.699,177,214,2351.3999,Foschini Group Ltd,25,Consumer Discretionary,.21219368,10.000433,.1067072,.35166094,966.09998,,30268.16,.11565553,-.0026747836,,
102502,INDL,,ZAR,2015,12,27.13,1,9040.46,485.70999,331.81601,1835.635,188.429,0,0,1357.0909,4065.916,553.09698,7732.479,177,197.627,527.42297,Metair Investment Ltd,25,Consumer Discretionary,.15011305,6.5688667,.058340281,.23975009,188.429,.055774078,5361.6206,.062326636,.13936456,,
102502,INDL,,ZAR,2016,12,22,1,8031.1499,293.995,1038.033,986.547,152.783,0,0,1001.461,3851.5769,713.18103,8953.71,177,197.97,447.92999,Metair Investment Ltd,25,Consumer Discretionary,.12469709,8.9910831,.055774078,.25209093,152.783,,4355.3398,.15793525,-.11164366,,
102543,INDL,,ZAR,2015,2,52.82,1,16584.9,1623.1,546.59998,83,589.5,0,0,1004.9,12687.1,3073.1001,72445.102,177,478.77499,1049.2,Pick'N Pay Stores Ltd,30,Consumer Staples,.060591262,7.1756492,.063262358,.037962239,589.5,.068377674,25288.895,.082226463,.12772587,2.4850657,
102543,INDL,,ZAR,2016,2,56.34,1,18102.4,1736,1849.2,84,753.5,0,0,984.29999,14023.1,1582.5,77486.102,177,472.582,1237.8,Pick'N Pay Stores Ltd,30,Consumer Staples,.054374006,9.8037996,.068377674,.10679246,753.5,,26625.27,.069583721,.091498889,,
102544,INDL,,ZAR,2015,2,18.4,1,14447,338,2288,2675,104,0,0,1042,11711,1357,14357,177,102.423,354,Allied Electronics Corp Ltd,20,Industrials,.072125703,7.0376434,.024503358,.34353152,104,.041356925,1884.5831,-.34995019,-.048412595,,
