globalcompanykey,isocurrencycode,datayearfiscal,fiscalyearendmonth
240228,ZAR,2009,6
240228,ZAR,2010,6
240228,ZAR,2011,6
240228,ZAR,2012,6
240228,ZAR,2013,6
240228,ZAR,2014,6
240228,ZAR,2015,6
240228,ZAR,2016,6
240244,ZAR,2008,7
240244,ZAR,2009,7
240244,ZAR,2010,7
240244,ZAR,2011,7
240244,ZAR,2012,7
240244,ZAR,2013,7
240244,ZAR,2014,7
240244,ZAR,2015,7
240244,ZAR,2016,7
240319,ZAR,2008,6
240319,ZAR,2009,6
240319,ZAR,2010,6
240319,ZAR,2011,6
240319,ZAR,2013,12
240319,ZAR,2014,12
240319,ZAR,2015,12
240319,ZAR,2016,12
240519,ZAR,2008,3
240519,ZAR,2009,3
240519,ZAR,2010,3
240519,ZAR,2012,6
240519,ZAR,2013,6
240519,ZAR,2014,6
240519,ZAR,2015,6
240519,ZAR,2016,6
251918,ZAR,2008,3
251918,ZAR,2009,3
251918,ZAR,2010,3
251918,ZAR,2011,3
251918,ZAR,2012,3
251918,ZAR,2013,3
251924,ZAR,2008,2
251924,ZAR,2009,2
251924,ZAR,2010,2
251924,ZAR,2011,2
251924,ZAR,2012,2
251924,ZAR,2013,2
251924,ZAR,2014,2
251924,ZAR,2016,2
257302,ZAR,2008,12
257302,ZAR,2009,12
257302,ZAR,2010,12
257302,ZAR,2011,12
257383,ZAR,2008,9
257383,ZAR,2009,9
257383,ZAR,2010,9
257383,ZAR,2011,9
257383,ZAR,2012,9
257383,ZAR,2013,9
257383,ZAR,2014,9
257383,ZAR,2015,9
257383,ZAR,2016,9
264030,ZAR,2009,8
264030,ZAR,2010,8
264030,ZAR,2011,8
264030,ZAR,2012,8
264030,ZAR,2013,8
264030,ZAR,2014,8
264030,ZAR,2015,8
264030,ZAR,2016,8
267407,USD,2011,12
267407,USD,2012,12
267407,USD,2013,12
267407,USD,2014,12
267407,USD,2015,12
267407,USD,2016,12
271087,ZAR,2008,9
271087,ZAR,2009,9
271087,ZAR,2010,9
271087,ZAR,2011,9
271087,ZAR,2012,9
271087,ZAR,2013,9
271087,ZAR,2014,9
271087,ZAR,2015,9
271087,ZAR,2016,9
271141,ZAR,2008,3
271141,ZAR,2009,3
271141,ZAR,2010,3
271141,ZAR,2011,3
271141,ZAR,2012,3
271141,ZAR,2013,3
271141,ZAR,2014,3
271141,ZAR,2015,3
271141,ZAR,2016,3
272681,ZAR,2008,3
272681,ZAR,2009,3
272681,ZAR,2010,3
272681,ZAR,2011,3
272681,ZAR,2012,3
272681,ZAR,2013,3
273759,GBP,2014,8
273759,GBP,2015,8
273759,GBP,2016,8
278391,ZAR,2008,12
278391,ZAR,2009,12
278391,ZAR,2010,12
278391,ZAR,2011,12
278391,ZAR,2012,12
278391,ZAR,2013,12
278391,ZAR,2014,12
278391,ZAR,2015,12
278391,ZAR,2016,12
281544,ZAR,2008,12
281544,ZAR,2009,12
281544,ZAR,2011,12
281544,ZAR,2014,12
281544,ZAR,2015,12
281736,ZAR,2012,2
281736,ZAR,2013,2
281736,ZAR,2014,2
281736,ZAR,2015,2
281736,ZAR,2016,2
285170,EUR,2008,12
285170,EUR,2009,12
285170,EUR,2010,12
285170,EUR,2011,12
285170,EUR,2012,12
285170,EUR,2013,12
285170,EUR,2014,12
285170,EUR,2015,12
285170,EUR,2016,12
286281,EUR,2012,12
286281,EUR,2013,12
286281,EUR,2014,12
286281,EUR,2015,12
286281,EUR,2016,12
288698,ZAR,2008,9
288698,ZAR,2009,9
288698,ZAR,2010,9
288698,ZAR,2011,9
288698,ZAR,2012,9
288698,ZAR,2013,9
288698,ZAR,2014,9
288698,ZAR,2015,9
288698,ZAR,2016,9
292072,ZAR,2008,3
292072,ZAR,2009,3
292072,ZAR,2010,3
292072,ZAR,2011,3
292072,ZAR,2012,3
292072,ZAR,2013,3
292072,ZAR,2014,3
292072,ZAR,2015,3
292072,ZAR,2016,3
294284,ZAR,2010,6
294284,ZAR,2011,6
295796,ZAR,2009,12
295796,ZAR,2010,12
295796,ZAR,2011,12
295796,ZAR,2012,12
295796,ZAR,2013,12
295796,ZAR,2014,12
295796,ZAR,2015,12
295796,ZAR,2016,12
296962,ZAR,2013,6
296962,ZAR,2014,6
296962,ZAR,2015,6
296962,ZAR,2016,6
297991,ZAR,2011,12
297991,ZAR,2012,12
297991,ZAR,2013,12
297991,ZAR,2014,12
297991,ZAR,2015,12
297991,ZAR,2016,12
316279,ZAR,2014,6
316279,ZAR,2015,6
316279,ZAR,2016,6
317814,ZAR,2014,2
317814,ZAR,2015,2
317814,ZAR,2016,2
318215,ZAR,2009,3
318215,ZAR,2010,3
318215,ZAR,2011,3
318215,ZAR,2012,3
318215,ZAR,2013,3
318215,ZAR,2014,3
318215,ZAR,2015,3
318215,ZAR,2016,3
318745,ZAR,2014,2
318745,ZAR,2015,2
319687,USD,2015,6
319687,USD,2016,6
