globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
240272,01W,2015,ZAR,0.3276190476190475,0.35
240272,01W,2016,ZAR,0.4041552511415522,0.0
240279,01W,2015,ZAR,8.844545454545456,8.9
240279,01W,2016,ZAR,10.587022900763337,9.25
240280,01W,2015,ZAR,8.633181818181814,8.42
240280,01W,2016,ZAR,11.71874045801526,12.42
240282,01W,2015,ZAR,2.079090909090909,1.9
240282,01W,2016,ZAR,1.6664122137404582,1.3
240317,01W,2015,ZAR,9.927391304347825,10.0
240317,01W,2016,ZAR,10.120357142857143,0.0
240319,01W,2015,ZAR,105.46130434782609,100.0
240319,01W,2016,ZAR,120.29210727969354,126.16
240327,01W,2015,ZAR,4.0842857142857145,4.02
240327,01W,2016,ZAR,3.910045662100457,0.0
240329,01W,2015,ZAR,0.3572727272727272,0.45
240329,01W,2016,ZAR,0.3347709923664129,0.25
240342,01W,2015,ZAR,4.091335877862593,3.1
240351,01W,2015,ZAR,0.40000000000000013,0.4
240351,01W,2016,ZAR,0.5272959183673467,0.0
240354,01W,2015,ZAR,1.309118773946356,1.25
240358,01W,2015,ZAR,0.7947619047619048,0.82
240358,01W,2016,ZAR,1.123607305936073,0.0
240362,01W,2015,ZAR,2.5423809523809524,2.7
240362,01W,2016,ZAR,2.9944274809160305,2.95
240372,01W,2015,ZAR,36.858636363636364,36.67
240372,01W,2016,ZAR,32.43759541984733,30.9
240377,01W,2015,ZAR,1.6909090909090907,1.6
240377,01W,2016,ZAR,1.8774427480916012,2.55
240384,01W,2015,ZAR,2.6367557251908433,3.2
240396,01W,2015,ZAR,3.0952380952380945,2.9
240396,01W,2016,ZAR,3.0310045662100435,0.0
240398,01W,2015,ZAR,2.554285714285714,2.38
240398,01W,2016,ZAR,1.7930152671755721,1.57
240403,01W,2015,ZAR,0.6836363636363635,0.7
240403,01W,2016,ZAR,0.9221374045801533,0.75
240519,01W,2015,ZAR,246.63136363636357,255.94
240519,01W,2016,ZAR,252.4715648854963,254.66
246277,01W,2015,ZAR,176.2790909090909,174.14
246277,01W,2016,ZAR,125.44419847328243,117.75
249900,01W,2015,ZAR,0.06302681992337174,0.05
251059,02W,2015,ZAR,11.636363636363637,11.0
251059,02W,2016,ZAR,11.204122137404548,11.04
251060,01W,2015,ZAR,0.03551724137931029,0.02
255227,01W,2015,ZAR,18.40869565217391,19.9
255227,01W,2016,ZAR,19.87207692307691,21.0
257383,01W,2015,ZAR,70.64363636363635,65.29
257383,01W,2016,ZAR,66.10263358778626,70.24
258703,02W,2015,ZAR,78.20304347826087,79.0
258703,02W,2016,ZAR,84.69255102040823,0.0
258732,01W,2015,ZAR,8.471739130434784,8.99
258732,01W,2016,ZAR,9.023218390804592,9.25
264030,01W,2015,ZAR,11.421428571428573,11.48
264030,01W,2016,ZAR,10.992633587786255,11.02
271087,01W,2015,ZAR,184.89681818181816,185.0
271087,01W,2016,ZAR,194.4259160305344,192.22
271141,01W,2015,ZAR,49.074782608695664,47.0
271141,01W,2016,ZAR,43.24275510204082,0.0
272681,01W,2015,ZAR,16.431739130434785,17.0
272681,01W,2016,ZAR,17.645000000000003,0.0
273817,01W,2015,ZAR,0.08809523809523813,0.08
273817,01W,2016,ZAR,0.18118721461187223,0.0
274950,01W,2015,ZAR,0.4404347826086958,0.41
274950,01W,2016,ZAR,0.5267816091954022,0.76
275786,01W,2015,ZAR,0.23523809523809533,0.23
275786,01W,2016,ZAR,0.33908675799086774,0.0
278271,02W,2015,ZAR,3.0544536398467432,2.1
278391,01W,2015,ZAR,126.51347826086956,128.0
278391,01W,2016,ZAR,156.67896551724138,164.27
279376,01W,2015,ZAR,717.0682608695652,703.0
279376,01W,2016,ZAR,759.9604214559386,767.0
281454,01W,2015,ZAR,22.444285714285712,24.22
281454,01W,2016,ZAR,23.62484018264838,0.0
281544,01W,2015,ZAR,130.4057471264367,41.2
281593,01W,2015,ZAR,1.307826086956522,1.3
281593,01W,2016,ZAR,1.5379310344827555,2.19
281651,01W,2015,ZAR,0.4904545454545455,0.5
281651,01W,2016,ZAR,0.6695419847328254,0.8
281733,01W,2015,ZAR,1.2439130434782613,1.45
281733,01W,2016,ZAR,1.3927040816326526,0.0
281736,01W,2015,ZAR,5.10095238095238,5.35
281736,01W,2016,ZAR,6.676164383561644,0.0
281796,01W,2015,ZAR,0.020000000000000004,0.02
281796,01W,2016,ZAR,0.017671232876712316,0.0
282456,01W,2015,ZAR,2.246666666666667,2.18
282456,01W,2016,ZAR,2.0246564885496148,1.85
282867,01W,2015,ZAR,3.7673563218390766,2.7
282897,01W,2015,ZAR,0.4534782608695652,0.45
282897,01W,2016,ZAR,0.4248659003831418,0.46
284363,01W,2015,ZAR,1.33590909090909,1.38
284363,01W,2016,ZAR,1.1947709923664123,1.2
284735,01W,2015,ZAR,2.9677272727272723,2.81
284735,01W,2016,ZAR,3.0538931297709917,2.99
284907,01W,2015,ZAR,0.711904761904762,0.71
284907,01W,2016,ZAR,0.899948979591837,0.0
285017,01W,2015,ZAR,0.9982608695652171,1.1
285017,01W,2016,ZAR,0.8981609195402289,1.1
285029,01W,2015,ZAR,3.4738095238095235,3.35
285029,01W,2016,ZAR,2.9578995433789963,0.0
285081,01W,2015,ZAR,5.519565217391303,5.38
285081,01W,2016,ZAR,5.618237547892719,5.35
285170,01W,2015,EUR,20.694919978445103,20.644413214887006
285170,01W,2016,ZAR,282.58639846743284,279.99
285256,01W,2015,ZAR,0.09363984674329492,0.06
285645,01W,2015,ZAR,3.5690476190476184,3.45
285645,01W,2016,ZAR,4.283378995433791,0.0
285691,01W,2015,ZAR,4.723809523809523,5.05
285691,01W,2016,ZAR,5.99424657534247,0.0
286004,01W,2015,ZAR,0.7736781609195406,0.68
286093,01W,2015,ZAR,0.10857142857142861,0.1
286093,01W,2016,ZAR,0.13438356164383572,0.0
286113,01W,2015,ZAR,0.8778927203065126,0.83
286960,01W,2015,ZAR,0.45003816793893164,0.36
287252,01W,2015,ZAR,2.3286956521739124,2.36
287252,01W,2016,ZAR,2.987857142857142,0.0
287271,01W,2015,ZAR,11.678206106870233,15.7
287290,01W,2015,ZAR,1.5,1.5
287290,01W,2016,ZAR,1.2419923371647485,1.2
287301,01W,2015,ZAR,18.382380952380952,18.2
